,0
533,M4A1-S | VariCamo (Field-Tested)
534,'Two Times' McCoy | TACP Cavalry
535,StatTrak™ AK-47 | Elite Build (Field-Tested)
536,Antwerp 2022 Challengers Autograph Capsule
537,Paris 2023 Ancient Souvenir Package
538,MP5-SD | Kitbash (Field-Tested)
539,Dual Berettas | Contractor (Field-Tested)
540,M4A4 | 龍王 (Dragon King) (Minimal Wear)
541,P90 | Vent Rush (Field-Tested)
542,SG 553 | Dragon Tech (Field-Tested)
543,AWP | Exoskeleton (Field-Tested)
544,StatTrak™ AWP | Atheris (Field-Tested)
545,M4A4 | In Living Color (Battle-Scarred)
546,M4A1-S | Leaded Glass (Minimal Wear)
547,StatTrak™ AK-47 | Elite Build (Minimal Wear)
548,Sawed-Off | Kiss♥Love (Field-Tested)
549,M4A1-S | Player Two (Battle-Scarred)
550,AUG | Surveillance (Field-Tested)
551,FAMAS | Rapid Eye Movement (Field-Tested)
552,AK-47 | Steel Delta (Field-Tested)
553,'Two Times' McCoy | USAF TACP
554,AK-47 | Emerald Pinstripe (Well-Worn)
555,AWP | Black Nile (Minimal Wear)
556,Jungle Rebel | Elite Crew
557,Glock-18 | Candy Apple (Minimal Wear)
558,SG 553 | Dragon Tech (Minimal Wear)
559,Antwerp 2022 Legends Sticker Capsule
560,Sticker | Spirit (Holo) | 2020 RMR
561,Sticker | TYLOO | 2020 RMR
562,MAC-10 | Disco Tech (Field-Tested)
563,MAG-7 | Metallic DDPAT (Factory New)
564,Little Kev | The Professionals
565,MAC-10 | Last Dive (Factory New)
566,Sticker | Fnatic (Foil) | 2020 RMR
567,AK-47 | Elite Build (Battle-Scarred)
568,Stockholm 2021 Contenders Sticker Capsule
569,USP-S | Ticket to Hell (Factory New)
570,3rd Commando Company | KSK
571,AWP | Acheron (Minimal Wear)
572,P250 | Valence (Minimal Wear)
573,Desert Eagle | Meteorite (Minimal Wear)
574,M4A1-S | Nightmare (Minimal Wear)
575,AWP | Exoskeleton (Well-Worn)
576,StatTrak™ M4A1-S | Night Terror (Field-Tested)
577,Sticker | Fnatic (Holo) | Paris 2023
578,M4A4 | Neo-Noir (Battle-Scarred)
579,AWP | Fever Dream (Battle-Scarred)
580,Sticker | Team Liquid (Holo) | Paris 2023
581,Sticker | Into The Breach (Holo) | Paris 2023
582,Galil AR | Rocket Pop (Minimal Wear)
583,M4A1-S | VariCamo (Field-Tested)
584,'Two Times' McCoy | TACP Cavalry
585,StatTrak™ AK-47 | Elite Build (Field-Tested)
586,Antwerp 2022 Challengers Autograph Capsule
